Macro-attribut;Chemin;Cas de test ;R‚sultat;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_fin_validite]=ine!null&instance=VALEUR_REFERENCE;00098;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&sort=type_entite_juridique.date_fin_validite&instance=VALEUR_REFERENCE;00099;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&sort=-type_entite_juridique.date_fin_validite&instance=VALEUR_REFERENCE;00100;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_creation]=ega!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00101;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_creation]=neg!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00102;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_creation=sup!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00103;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_creation]=sue!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00104;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_creation]=inf!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00105;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_creation]=ine!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00106;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&sort=type_entite_juridique.date_creation&instance=VALEUR_REFERENCE;00107;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&sort=-type_entite_juridique.date_creation&instance=VALEUR_REFERENCE;00108;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_maj]=ega!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00109;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_maj]=neg!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00110;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_maj=sup!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00111;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_maj]=sue!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00112;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_maj]=inf!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00113;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_maj]=ine!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00114;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&sort=type_entite_juridique.date_maj&instance=VALEUR_REFERENCE;00115;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&sort=-type_entite_juridique.date_maj&instance=VALEUR_REFERENCE;00116;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.identifiant_unique_type_contact]=ega!0f0ca470-707a-6bc7-5a58-9517ca486a9d&instance=VALEUR_REFERENCE;00117;OK;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.identifiant_unique_type_contact]=neg!0f0ca470-707a-6bc7-5a58-9517ca486a9d&instance=VALEUR_REFERENCE;00118;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.id_metier]=ega!CMD&instance=VALEUR_REFERENCE;00119;OK;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.id_metier]=neg!CMD&instance=VALEUR_REFERENCE;00120;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.id_metier]=com!CMD&instance=VALEUR_REFERENCE;00121;OK;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.id_metier]=nco!CMD&instance=VALEUR_REFERENCE;00122;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.id_metier]=con!CMD&instance=VALEUR_REFERENCE;00123;OK;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.id_metier]=ncn!CMD&instance=VALEUR_REFERENCE;00124;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.id_metier]=ter!CMD&instance=VALEUR_REFERENCE;00125;KO;;;;;;
